id,created_at,text
1288724211767418880,2020-07-30 06:32:50,"@keith31345919 @PPathole We’ve been working on this for about 4 years. Originally meant for rabies vaccine, but it… https://t.co/FSf77XHiII"
1288722944693276672,2020-07-30 06:27:47,@keith31345919 @PPathole https://t.co/0kAAv0DtNn
1288722245280464896,2020-07-30 06:25:01,@PPathole 🎶 Billy G is not my lover 🎶
1288722022323781633,2020-07-30 06:24:08,@PPathole Sounds like he doesn’t realize Tesla makes the vaccine machine for CureVac
1288680039823765504,2020-07-30 03:37:18,@mkarolian @Tesla Thanks for letting me know. Will dig into it.
1288388389666922496,2020-07-29 08:18:23,@GreenDragonBot 😉
1288373683736649728,2020-07-29 07:19:57,@thesheetztweetz Sum &gt; parts
1288370540973981696,2020-07-29 07:07:28,"@Teslarati Should add a few miles of range, more in slow traffic"
1288276115816091649,2020-07-29 00:52:15,@Kristennetten @xiang_aw @OwenSparks_ @BernieSanders The government has the most money by far. They talk in trillions.
1288267661286215680,2020-07-29 00:18:39,@jgrano305 @TeslaOwnersNBay Haha no one can ever have our top secret fart technology!!
1288267313729474561,2020-07-29 00:17:17,@TeslaOwnersNBay 💕 💕
1288265584178798592,2020-07-29 00:10:24,@sam_lopezXx @Teslarati Sure
1288265150928125952,2020-07-29 00:08:41,@Teslarati Tesla is open to licensing software and supplying powertrains &amp; batteries. We’re just trying to accelera… https://t.co/5t9vGkLWda
1288263720007761920,2020-07-29 00:03:00,@xiang_aw @OwenSparks_ @BernieSanders What he doesn’t appear to appreciate is that government is just a monopolist corporation in the limit
1288260255009341440,2020-07-28 23:49:14,@slashdot !
1288158958155423749,2020-07-28 17:06:43,@Techgnostik @schristakos @BernieSanders Agreed
1288158863863287809,2020-07-28 17:06:20,@EvaFoxU @schristakos @BernieSanders Haha
1288157335668629504,2020-07-28 17:00:16,@DMC_Ryan @rodamn It’s a prototype of the color
1288155738423074816,2020-07-28 16:53:55,@schristakos @BernieSanders And to think I used to like Bernie! 😢 https://t.co/adojS2UCe3
1288153472534183940,2020-07-28 16:44:55,@vistacruiser7 @schristakos @BernieSanders @BernieSanders 🕊🕊
1288151276207738880,2020-07-28 16:36:11,@schristakos @BernieSanders Maybe he’s feeling the bern haha
1287965692298268673,2020-07-28 04:18:44,"@NASASpaceflight Fuel spin valve didn’t open. Will fix &amp; try again tomorrow. Also, some odd TVC hydraulic pump behavior."
1287926090715947009,2020-07-28 01:41:23,"@NASASpaceflight I was just out at the launch pad. Connector damaged in the storm, but fixed now. Might be able to… https://t.co/FB7e5nOq2E"
1287839317537284096,2020-07-27 19:56:34,"@PrisonPlanet Whether commercial or government, monopolies are bad for the people"
1287829529721962499,2020-07-27 19:17:41,@Teslarati Sounds great
1287828284852535301,2020-07-27 19:12:44,@enn_nafnlaus @TheOnion Haha
1287824348460593154,2020-07-27 18:57:05,Das Kapital in a nutshell https://t.co/mG44mMkitx
1287822920966905858,2020-07-27 18:51:25,@anthm17 What I like most is their great sense of humor
1287818109651431427,2020-07-27 18:32:18,The left is losing the middle
1287808934569545730,2020-07-27 17:55:50,@RationalEtienne @TheOnion Exactly
1287805905422159873,2020-07-27 17:43:48,@RationalEtienne @atNickVega @TheOnion 🤣🤣
1287796199014244355,2020-07-27 17:05:14,Hold my beer https://t.co/IK3tT1x4wP
1287794580629393537,2020-07-27 16:58:48,"@TheOnion Once an Onion, now a Rose"
1287794307991126016,2020-07-27 16:57:43,"@atNickVega @TheOnion Wow, you think about me a lot!"
1287793208265670658,2020-07-27 16:53:21,@YourAnonNews You dropped this
1287793022671912960,2020-07-27 16:52:37,@YourAnonNews 🌹
1287646443822620672,2020-07-27 07:10:10,@EvaFoxU Haha
1287621018727723008,2020-07-27 05:29:08,"RT @teslacn: Pick up the energetic wallpapers, and charge your everyday adventure！ https://t.co/HOTDtLpdpw"
1287598172508958721,2020-07-27 03:58:21,@cleantechnica Giga Berlin will come together at an impossible-seeming speed. The prefabricated construction method… https://t.co/x2DRFewiAL
1287593791076143105,2020-07-27 03:40:56,Almost a decade ago. Original Dragon in background.
1287589583778185217,2020-07-27 03:24:13,@PPathole @RhiddhiD Ya just can’t beat BR
1287587716197212162,2020-07-27 03:16:48,https://t.co/Ufay65lZJj
1287585248683974657,2020-07-27 03:07:00,@AVRWC Planet Claire is 🔥🔥
1287579555012718592,2020-07-27 02:44:22,@cybrtrck Fair point! Will discuss with team.
1287579260132175872,2020-07-27 02:43:12,@RhiddhiD He was amazing
1287578839821033472,2020-07-27 02:41:32,"Great song
https://t.co/wj4YdJglSH"
1287578433803911168,2020-07-27 02:39:55,"@spotted_model @cleantechnica Nickel is the biggest challenge for high-volume, long-range batteries! Australia &amp; Ca… https://t.co/kq81CQoGFL"
1287576986307776514,2020-07-27 02:34:10,@PicklePunchD @cleantechnica 🤣🤣
1287576285850607616,2020-07-27 02:31:23,@SamTalksTesla That’s me! Haha
1287576142048886784,2020-07-27 02:30:48,@cleantechnica This has a lot of potential. Lithium is pretty much everywhere.
1287502055876243457,2020-07-26 21:36:25,@Teslarati Whoa cool
1287502000402378763,2020-07-26 21:36:12,@TheOnion 🤣🤣
1287498222135586816,2020-07-26 21:21:11,@Kristennetten @yourfavgas @ajtourville Has to be blue steel :)
1287497417810739200,2020-07-26 21:17:59,@Mattiecola @ajtourville We need high Brinell hardness &amp; high corrosion resistance. Because of Cybertruck’s faceted… https://t.co/dNkkGaDjq4
1287495519485472769,2020-07-26 21:10:27,@flcnhvy @yourfavgas @ajtourville I really want to do this! Will be great fun. Could be both LA and Austin.
1287492076939227138,2020-07-26 20:56:46,@yourfavgas @ajtourville Turning them into shade for an outdoor restaurant here in Boca
1287491810567356421,2020-07-26 20:55:42,@ajtourville Cool
1287489392374878209,2020-07-26 20:46:06,@flcnhvy @Ghost_TeslaPhx @28delayslater @CrewTesla @jrosinski97 @marc_benton @ray4tesla Yes
1287486123741192194,2020-07-26 20:33:06,@Ghost_TeslaPhx @28delayslater @CrewTesla @jrosinski97 @marc_benton @ray4tesla Not impossible
1287485282124804098,2020-07-26 20:29:46,@WholeMarsBlog Those were the days! 🤣🤣
1287402095545667590,2020-07-26 14:59:13,RT @ccsakuras: https://t.co/emkzCfGarZ
1287345460580147201,2020-07-26 11:14:10,"RT @MKBHD: NEW VIDEO - Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5]

https://t.co/3lC3l2Rgcj https://t.co/L65zAxYcTr"
1287207010581307393,2020-07-26 02:04:01,@teslaownersSV @PPathole @maureendowd Ring of Fire https://t.co/gSJ3Np4CAP
1287206406509285381,2020-07-26 02:01:37,@iliketeslas @PJHORNAK @RandyVegetables I know! Congratulations to the people of Bolivia 🇧🇴!!
1287205936650739715,2020-07-26 01:59:45,@PPathole @maureendowd The song I whistle most is Strangers in the Night
1287204969989443586,2020-07-26 01:55:54,@RandyVegetables Some of whom seriously think Tesla toppled the Bolivian govt (sigh) https://t.co/yC5gaa12DW
1287181873014345729,2020-07-26 00:24:07,@maureendowd Great song
1287181753334018048,2020-07-26 00:23:39,@karaswisher @maureendowd @elon Haha thanks Kara :)
1287181623126118401,2020-07-26 00:23:08,@erikmaza @maureendowd For sure
1287176336310702080,2020-07-26 00:02:07,"@TheFavoritist @NASASpaceflight @BocaChicaGal Yeah, we’re hunkering down here until the hurricane passes"
1287165288799252480,2020-07-25 23:18:13,@Adolfo_MorenoS @historyofarmani Exactly!
1287140748241047554,2020-07-25 21:40:42,Cool Model 3 review by @iamjamiefoxx https://t.co/hJDD7BjkE3
1286965522559569922,2020-07-25 10:04:25,@teslacn Tesla will add a power lift gate at no cost
1286962167481335810,2020-07-25 09:51:05,"@HansNoordsij Agreed, hydrogen fool sells make no sense"
1286869404874088448,2020-07-25 03:42:29,Pronouns suck
1286867520314642443,2020-07-25 03:35:00,"@historyofarmani Also, we get our lithium from Australia"
1286860252537921537,2020-07-25 03:06:07,@nichegamer 🤣🤣
1286791581949927425,2020-07-24 22:33:15,"@akinfermo Yeah, would have been way better just to send everyone $6k"
1286791044466724866,2020-07-24 22:31:07,I bet no one on 🌹 Twitter even *has* a guillotine! Poseurs …
1286699777573507077,2020-07-24 16:28:27,@engineers_feed [slow drag on cigarette) Facebook? Haven’t heard that name in years …
1286697906536361987,2020-07-24 16:21:01,🌹 Twitter sucks
1286687303130374144,2020-07-24 15:38:53,"@stevenbonchev @APompliano Something like that. If politicians could legislate wealth, everyone would be a trillionaire."
1286677935580160000,2020-07-24 15:01:39,"These are jammed to gills with special interests earmarks. If we do a stimulus at all, it should just be direct payments to consumers."
1286676388532150274,2020-07-24 14:55:30,@PPathole Pretty much
1286675982297051142,2020-07-24 14:53:54,Goal of government should be to maximize the happiness of the people. Giving each person money allows them to decid… https://t.co/lwfXHVKSJF
1286675223434141697,2020-07-24 14:50:53,"As a reminder, I’m in *favor* of universal basic income"
1286673686821515266,2020-07-24 14:44:46,Another government stimulus package is not in the best interests of the people imo
1286672262435942400,2020-07-24 14:39:07,"Tesla solar panels are $1.49/Watt 
https://t.co/5LpLhqgAzw"
1286665488957878273,2020-07-24 14:12:12,@realDonaldTrump @Tesla Thank you on behalf of the Tesla team. We look forward to building Giga Texas!
1286665050330202112,2020-07-24 14:10:27,@SciGuySpace Competition ensures companies work hard to serve the needs of their customers
1286650499094151170,2020-07-24 13:12:38,@schristakos @PUBG Something fun is coming
1286502097559715840,2020-07-24 03:22:56,@vincent13031925 @UniversalPics @TomCruise @SpaceX Could be great!
1286484865899266054,2020-07-24 02:14:28,@teslaownersSV @cleantechnica That’s a great idea!
1286450016803069952,2020-07-23 23:55:59,"@Tesla We are actually looking for revolutionary actuaries for Tesla Insurance! Please inquire, if interested."
1286440727740899328,2020-07-23 23:19:05,"@cleantechnica Tbh, we are just a bit less foolish than before"
1286439010995507200,2020-07-23 23:12:15,"RT @Commercial_Crew: While in orbit, astronauts @AstroBehnken and @Astro_Doug performed a habitability assessment of the @SpaceX Crew Drago…"
1286360612415692802,2020-07-23 18:00:44,"@Teslarati Retail investors like @hyperchangetv are remarkably insightful. Also, @ARKInvest."
1286352681947344896,2020-07-23 17:29:13,"@SciGuySpace Especially for boost stage, which is volumetrically constrained, CH4 is way better than H2. Soviet CH4… https://t.co/aLeWbZ8Nfl"
1286350331169906690,2020-07-23 17:19:52,"@waitbutwhy Basically, our pixel size"
1286269390107926531,2020-07-23 11:58:14,@LudaLisl @Tesla Can’t emphasize this enough
1286269091439955975,2020-07-23 11:57:03,@tomosman @Tesla Absolutely
1286266063517253632,2020-07-23 11:45:01,@ajtourville Haha
1286213129354043392,2020-07-23 08:14:41,@cleantechnica Agreed
1286212775048617985,2020-07-23 08:13:16,@internetofshit My oven keeps asking for my wifi password. It’s not gonna get it.
1286209410130485248,2020-07-23 07:59:54,Impressive Tianwen-1 Mars rover mission launched by China today https://t.co/FsyA3I0HrU
1286100964852686849,2020-07-23 00:48:59,RT @Tesla: https://t.co/jmkacbRb5D
1285983256731455489,2020-07-22 17:01:15,@BBC_Future Good article
1285981334737838085,2020-07-22 16:53:37,@BBCScienceNews Similar problem with US data
1285863441874337792,2020-07-22 09:05:09,@OMGROFLOLJK Good point
1285830270709403648,2020-07-22 06:53:20,"You don’t have a soul, you are a soul"
1285827911119859712,2020-07-22 06:43:58,@cleantechnica Adding people in next version
